catno,description,title

L6100,"A specific collection of 367 Polyphenolic natural compounds for HTS, HCS.",Polyphenolic Natural compound Library

L1300,"Contains 190 small molecular compounds, used in the study of PI3K/Akt/mTOR signaling pathway and relevant drug screening.",PI3K/Akt/mTOR Compound Library

L2900,"Contains 118 bioactive compounds aliquoted to 96-well plates, ideal for screening or identifying mechanism research.",Oxidation-Reduction Compound Library

L5300,64 compounds with potential or definite mitochondrial targeting activities to advance your drug research focused on mitochondrion.,Mitochondrial Targeting Compound Library

L1400,"Contains 140 bioactive compounds related with MAPK pathway, for scientific research and drug screening.",MAPK Inhibitor Library

L5500,"Targetmol killer collections, mainly contain 277 synthetic or natural toxicants which were selected from the perspective of toxicological mechanisms for your screening of the most toxic role and the most mature mechanism of toxic compounds.",Killer Collections

L2300,"Contains 362 small molecule inhibitors related with ion channel, which can be used for high throughput screening and high content screening.",Ion Channel Inhibitor Library

L2500,"Contains 138 Human-Endogenous-Ligand-Librarycompounds related with endogenous metabolism, which is used for the study of endogenous metabolic diseases and new drug screening.",Human Endogenous Metabolize Compound Library

L3300,"Contains 99 bioactive compounds, ideal for screening and neurodegenerative diseases' mechanism research.",Histamine &melatonin Library

L3100,"A focused collection of 104 compounds with defined and diverse hematopoietic toxicity, including myelosuppression, neutropenia, leukopenia, anemia, and many more.",Hematopoietic Toxicity Compound Library

L1500,"Contains 711 active compounds related with G protein and G protein coupled receptors, used for GPCR targeted drug research and drug screening.",GPCR Compound Library

L1200,"Epigenetics library contains 305 compounds for epigenetic research, related testing, HTS and HCS.",Epigenetics Compound Library

L2400,"Contains 297 compounds related with Endocrinology/ Hormones signaling pathways, used in the study of human endocrine system and relevant  disease drug screening for HTS and HCS.",Endocrinology-Hormones Library

L3900,A unique collection of 475 DNA Damage and Repair related compounds for high throughput screening (HTS) and high content screening (HCS).,DNA Damage & Repair Compound Library

L3600,A unique collection of 182 inhibitors of cytokines for high throughput screening (HTS) and high content screening (HCS).,Cytokines inhibitors Library

L5900,"A unique collection of 90 CNS-Penetrant-related small molecule compounds for use in CNS-Penetrant-related research and drug screening for high-throughput, high-content screening.",CNS-Penetrant Compound Library

L5100,A specific collection of 586 fluorinated compounds for drug discovery and repurposing.,Fluorochemical Library

L2120,"A unique collection of 453 clinical drugs in treatment of cancer used in cancer related research and drug screening for HTS, HCS.",Anti-cancer clinical compound library

L2200,"Contains 339 compounds correspondingly, which is used to research related diseases and drug screening.",Tyrosine kinase inhibitors Library

L2800,"Contains 134 kinds of compounds, which target for 5-HT receptor and are used for neurologic disease’s drug screening.",Serotonin(5-HT) Compound Library

